Date,Open,High,Low,Close,Volume
01/05/2019,0.57,0.61,0.57,0.595,2738150
02/05/2019,0.605,0.62,0.575,0.585,707540
03/05/2019,0.59,0.66,0.585,0.615,2063236
06/05/2019,0.625,0.77,0.615,0.76,1845395
07/05/2019,0.795,0.88,0.76,0.76,3627042
08/05/2019,0.745,0.805,0.73,0.77,950610
09/05/2019,0.81,0.84,0.8,0.82,1650810
10/05/2019,0.83,0.895,0.83,0.855,1289047
13/05/2019,0.865,0.97,0.86,0.96,1443243
14/05/2019,0.935,0.935,0.87,0.9,2173745
15/05/2019,1.08,1.08,0.965,0.975,2755638
16/05/2019,0.985,1.01,0.945,0.98,1527737
17/05/2019,0.97,1,0.945,0.96,1862864
20/05/2019,0.97,1.005,0.955,0.955,1048449
21/05/2019,0.96,0.975,0.91,0.96,743577
22/05/2019,0.965,1.035,0.94,1.025,1111679
23/05/2019,1.03,1.2,1.03,1.125,2257941
24/05/2019,1.11,1.12,1.07,1.11,793874
27/05/2019,1.135,1.15,1.035,1.045,1325193
28/05/2019,1.1,1.25,1.085,1.23,2866491
29/05/2019,1.24,1.27,1.165,1.165,2345951
30/05/2019,1.19,1.23,1.13,1.2,836690
31/05/2019,1.21,1.225,1.16,1.17,545694
03/06/2019,1.16,1.215,1.115,1.15,549440
04/06/2019,1.16,1.172,1.13,1.16,403214
05/06/2019,1.18,1.22,1.18,1.2,617117
06/06/2019,1.21,1.225,1.135,1.135,832419
07/06/2019,1.125,1.125,1.05,1.05,932639
11/06/2019,1.1,1.185,1.09,1.16,902117
12/06/2019,1.16,1.25,1.155,1.24,1430364
13/06/2019,1.23,1.23,1.19,1.215,625168
14/06/2019,1.21,1.32,1.21,1.31,1158053
17/06/2019,1.335,1.47,1.33,1.41,1582024
18/06/2019,1.46,1.58,1.46,1.56,1939548
19/06/2019,1.595,1.63,1.445,1.48,1794920
20/06/2019,1.485,1.73,1.485,1.695,1061995
21/06/2019,1.73,1.885,1.71,1.75,2450008
24/06/2019,1.81,1.922,1.81,1.84,1348043
25/06/2019,1.835,1.835,1.45,1.535,4190555
26/06/2019,1.5,1.705,1.39,1.69,1673430
27/06/2019,1.7,1.84,1.62,1.81,1240293
28/06/2019,1.85,1.98,1.815,1.845,1228248
01/07/2019,1.88,1.88,1.62,1.79,2768918
02/07/2019,1.795,1.84,1.66,1.68,913447
03/07/2019,1.665,1.68,1.525,1.525,1177628
04/07/2019,1.54,1.64,1.515,1.58,995024
05/07/2019,1.6,1.615,1.53,1.535,588725
08/07/2019,1.52,1.52,1.36,1.415,2527327
09/07/2019,1.375,1.475,1.375,1.435,869288
10/07/2019,1.455,1.57,1.445,1.53,647396
11/07/2019,1.565,1.68,1.55,1.58,611203
12/07/2019,1.58,1.58,1.46,1.48,708630
15/07/2019,1.465,1.465,1.38,1.4,795005
16/07/2019,1.39,1.44,1.285,1.29,1540438
17/07/2019,1.29,1.31,1.12,1.27,2907711
18/07/2019,1.26,1.28,1.195,1.195,702662
19/07/2019,1.215,1.32,1.155,1.32,961394
22/07/2019,1.3,1.415,1.21,1.395,1170159
23/07/2019,1.41,1.51,1.37,1.47,685160
24/07/2019,1.465,1.51,1.4,1.42,609848
25/07/2019,1.42,1.44,1.365,1.43,170506
26/07/2019,1.43,1.43,1.34,1.385,425344
29/07/2019,1.38,1.4,1.25,1.275,864976
30/07/2019,1.275,1.372,1.27,1.3,668315
31/07/2019,1.395,1.49,1.36,1.43,1531268
01/08/2019,1.445,1.445,1.315,1.37,641461
02/08/2019,1.385,1.385,1.31,1.315,379146
05/08/2019,1.33,1.335,1.22,1.22,547460
06/08/2019,1.2,1.3,1.155,1.28,839918
07/08/2019,1.3,1.375,1.28,1.35,409631
08/08/2019,1.365,1.4,1.31,1.335,146156
