Date,Open,High,Low,Close,Volume
06/08/2001,0.083,0.086,0.082,0.082,222000
07/08/2001,0.081,0.082,0.078,0.078,350332
08/08/2001,0.08,0.08,0.073,0.073,10984
09/08/2001,0.075,0.079,0.073,0.075,53000
10/08/2001,0.079,0.086,0.079,0.086,191850
13/08/2001,0.082,0.087,0.082,0.082,287300
14/08/2001,0.089,0.089,0.088,0.089,88700
15/08/2001,0.082,0.088,0.081,0.084,405000
16/08/2001,0.084,0.084,0.078,0.078,224742
17/08/2001,0.078,0.078,0.073,0.077,788016
20/08/2001,0.072,0.077,0.072,0.075,153700
21/08/2001,0.075,0.077,0.073,0.073,146000
22/08/2001,0.075,0.075,0.07,0.07,686513
23/08/2001,0.069,0.07,0.065,0.07,72134
24/08/2001,0.061,0.064,0.059,0.064,343126
27/08/2001,0.059,0.069,0.059,0.066,316947
28/08/2001,0.07,0.07,0.067,0.067,412860
29/08/2001,0.067,0.067,0.067,0.067,5498
30/08/2001,0.067,0.067,0.067,0.067,2000
31/08/2001,0.07,0.1,0.07,0.08,1351091
03/09/2001,0.082,0.082,0.075,0.075,1242750
04/09/2001,0.079,0.079,0.072,0.072,111270
05/09/2001,0.075,0.075,0.075,0.075,581480
06/09/2001,0.076,0.077,0.074,0.075,526789
07/09/2001,0.084,0.089,0.077,0.08,3253862
10/09/2001,0.08,0.081,0.078,0.078,490800
11/09/2001,0.078,0.081,0.078,0.08,27139
12/09/2001,0.078,0.078,0.068,0.073,331500
13/09/2001,0.074,0.08,0.074,0.08,366950
14/09/2001,0.078,0.078,0.07,0.07,423241
17/09/2001,0.07,0.07,0.062,0.062,137770
18/09/2001,0.062,0.066,0.06,0.06,416463
19/09/2001,0.062,0.072,0.062,0.072,13571
20/09/2001,0.07,0.18,0.067,0.095,2585796
21/09/2001,0.095,0.1,0.086,0.096,531800
24/09/2001,0.09,0.09,0.072,0.086,102275
25/09/2001,0.094,0.1,0.087,0.09,511646
26/09/2001,0.091,0.098,0.091,0.098,117000
27/09/2001,0.098,0.098,0.09,0.09,284528
28/09/2001,0.09,0.09,0.08,0.08,312188
01/10/2001,0.088,0.088,0.085,0.087,100000
02/10/2001,0.087,0.088,0.087,0.088,50000
03/10/2001,0.087,0.092,0.087,0.092,313527
04/10/2001,0.098,0.1,0.098,0.1,560500
05/10/2001,0.1,0.1,0.095,0.095,160300
08/10/2001,0.095,0.095,0.092,0.092,146400
09/10/2001,0.092,0.092,0.091,0.091,120000
10/10/2001,0.092,0.097,0.092,0.096,97000
11/10/2001,0.095,0.096,0.095,0.096,52500
12/10/2001,0.1,0.11,0.098,0.098,784266
